,Unnamed: 0,title,date,geo,rating
8,8,Panama Papers,2016,BE,9
9,9,Aanslagen in Orlando / attentats Orlando,2016,BE,10
0,0,WK 2018,2018,BE,1
1,1,hds,2018,BE,2
2,2,Facebook connectie / connexion,2018,BE,3
3,3,match coupe du monde,2018,BE,4
4,4,Avicii,2018,BE,5
5,5,verkiezingen 2018 / elections 2018,2018,BE,6
6,6,Tour de France 2018,2018,BE,7
7,7,Vlaanderen kiest,2018,BE,8
8,8,WK kalender,2018,BE,9
9,9,vrt nws,2018,BE,10
0,0,Christophe Lambrecht,2019,BE,1
1,1,Paul Severs,2019,BE,2
2,2,Bjorg Lambrecht,2019,BE,3
3,3,Theo Hayez,2019,BE,4
4,4,Wout van Aert,2019,BE,5
5,5,Flor Declair,2019,BE,6
6,6,Marieke Vervoort,2019,BE,7
7,7,Tom Van Grieken,2019,BE,8
8,8,Pia,2019,BE,9
9,9,Joke Schauvliege,2019,BE,10
0,0,Fabio Jakobsen,2020,BE,1
1,1,Melania Trump,2020,BE,2
2,2,Michael Jordan,2020,BE,3
3,3,Tom Hanks,2020,BE,4
4,4,Kayne West,2020,BE,5
5,5,Gabriel Byrne,2020,BE,6
6,6,Karine Ferri,2020,BE,7
7,7,Amber Heard,2020,BE,8
8,8,Erling Haaland,2020,BE,9
9,9,Joe Exotic,2020,BE,10
0,0,Oгледален свят,2013,BG,1
1,1,Paul Walker,2013,BG,2
2,2,Gangnam style,2013,BG,3
3,3,Гласът на България,2013,BG,4
4,4,Къртицата,2013,BG,5
5,5,Harlem shake,2013,BG,6
6,6,Чочо Попйорданов,2013,BG,7
7,7,Vip Brother 2013,2013,BG,8
8,8,Избори 2013,2013,BG,9
9,9,Google Street View,2013,BG,10
0,0,Кубрат Пулев,2014,BG,1
1,1,Robin Williams,2014,BG,2
2,2,Kрисия Tодорова,2014,BG,3
3,3,Джоко Росич,2014,BG,4
4,4,Владимир Кличко,2014,BG,5
5,5,Шумахер,2014,BG,6
6,6,Mike Tyson,2014,BG,7
7,7,Мария Данаилова,2014,BG,8
8,8,Кончита Вурст,2014,BG,9
9,9,Ивайла Бакалова,2014,BG,10
0,0,word snack отговори,2017,BG,1
1,1,Григор Димитров,2017,BG,2
2,2,избори,2017,BG,3
3,3,мис България,2017,BG,4
4,4,VIP Brother,2017,BG,5
5,5,Сега и завинаги,2017,BG,6
6,6,ЦИК,2017,BG,7
7,7,iphone 8,2017,BG,8
8,8,почивни дни,2017,BG,9
9,9,твоят час,2017,BG,10
0,0,Световно първенство по футбол,2018,BG,1
1,1,Shkolo,2018,BG,2
2,2,Турска лира,2018,BG,3
3,3,Истанбулска конвенция,2018,BG,4
4,4,Авто изпит,2018,BG,5
5,5,Fortnite,2018,BG,6
6,6,Джендър,2018,BG,7
7,7,Bitcoin,2018,BG,8
8,8,Касов бон,2018,BG,9
9,9,GDPR,2018,BG,10
